iter	Logloss
0	0.6909612746
1	0.6888026419
2	0.6868076979
3	0.6845928156
4	0.6824466615
5	0.6803938054
6	0.6784050386
7	0.6763457548
8	0.674298223
9	0.6722044826
10	0.6702499777
11	0.6681424642
12	0.6661550256
13	0.6642400375
14	0.6622920937
15	0.6604312943
16	0.658416655
17	0.6563798114
18	0.6546373641
19	0.6527896918
20	0.6508152351
21	0.648964176
22	0.6471763347
23	0.6453613932
24	0.6436226041
25	0.6416890553
26	0.6396819666
27	0.6379733374
28	0.6359890559
29	0.6341860055
30	0.6323563587
31	0.6306758143
32	0.6288800212
33	0.6271559935
34	0.6255581085
35	0.6237638435
36	0.6220724652
37	0.6203760191
38	0.6186154043
39	0.6169776551
40	0.6153394863
41	0.6137137364
42	0.612018839
43	0.6103206256
44	0.6086744637
45	0.6070910679
46	0.6054063116
47	0.6036958892
48	0.6021727966
49	0.6005517011
