iter	Passed	Remaining
0	14	729
1	20	491
2	39	623
3	49	568
4	71	640
5	84	622
6	105	648
7	135	713
8	164	749
9	183	735
10	194	689
11	202	642
12	218	620
13	228	587
14	241	563
15	246	523
16	251	488
17	277	493
18	285	465
19	308	462
20	320	442
21	326	415
22	340	399
23	345	373
24	368	368
25	383	354
26	401	341
27	411	323
28	435	315
29	443	295
30	460	282
31	469	264
32	474	244
33	479	225
34	484	207
35	498	193
36	503	176
37	507	160
38	513	144
39	517	129
40	525	115
41	530	101
42	535	87
43	540	73
44	545	60
45	552	48
46	560	35
47	566	23
48	571	11
49	577	0
